date,control_point,arrivals_residents,arrivals_chinavisitors,arrivals_othervisitors,arrivals_total,departures_residents,departures_chinavisitors,departures_othervisitors,departures_total,weekday
2021-11-03,Lok Ma Chau,0,0,0,0,0,0,0,0,Wednesday
2021-11-03,Man Kam To,0,0,0,0,0,0,0,0,Wednesday
2021-11-03,Sha Tau Kok,0,0,0,0,0,0,0,0,Wednesday
2021-11-03,Shenzhen Bay,998,207,9,1214,775,186,7,968,Wednesday
2021-11-03,China Ferry Terminal,0,0,0,0,0,0,0,0,Wednesday
2021-11-03,Harbour Control,0,0,0,0,0,0,0,0,Wednesday
2021-11-03,Kai Tak Cruise Terminal,1622,0,0,1622,1458,0,0,1458,Wednesday
2021-11-03,Macau Ferry Terminal,0,0,0,0,0,0,0,0,Wednesday
2021-11-03,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0,Wednesday
2021-11-03,Total,3862,233,54,4149,3362,211,52,3625,Wednesday
2021-11-04,Airport,644,19,40,703,635,18,20,673,Thursday
2021-11-04,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0,Thursday
2021-11-04,Hung Hom,0,0,0,0,0,0,0,0,Thursday
2021-11-04,Lo Wu,0,0,0,0,0,0,0,0,Thursday
2021-11-04,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0,Thursday
2021-11-04,Heung Yuen Wai,0,0,0,0,0,0,0,0,Thursday
2021-11-04,Hong Kong-Zhuhai-Macao Bridge,123,2,15,140,187,13,12,212,Thursday
2021-11-04,Lok Ma Chau,0,0,0,0,0,0,0,0,Thursday
2021-11-04,Man Kam To,0,0,0,0,0,0,0,0,Thursday
2021-11-04,Sha Tau Kok,0,0,0,0,0,0,0,0,Thursday
2021-11-04,Shenzhen Bay,786,140,9,935,637,101,3,741,Thursday
2021-11-04,China Ferry Terminal,0,0,0,0,0,0,0,0,Thursday
2021-11-04,Harbour Control,0,0,0,0,0,0,0,0,Thursday
2021-11-04,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0,Thursday
2021-11-04,Macau Ferry Terminal,0,0,0,0,0,0,0,0,Thursday
2021-11-04,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0,Thursday
2021-11-04,Total,1553,161,64,1778,1459,132,35,1626,Thursday
2021-11-05,Airport,879,62,46,987,1039,16,46,1101,Friday
2021-11-05,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0,Friday
2021-11-05,Hung Hom,0,0,0,0,0,0,0,0,Friday
2021-11-05,Lo Wu,0,0,0,0,0,0,0,0,Friday
2021-11-05,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0,Friday
2021-11-05,Heung Yuen Wai,0,0,0,0,0,0,0,0,Friday
2021-11-05,Hong Kong-Zhuhai-Macao Bridge,143,10,26,179,195,31,13,239,Friday
2021-11-05,Lok Ma Chau,0,0,0,0,0,0,0,0,Friday
2021-11-05,Man Kam To,0,0,0,0,0,0,0,0,Friday
2021-11-05,Sha Tau Kok,0,0,0,0,0,0,0,0,Friday
2021-11-05,Shenzhen Bay,915,189,7,1111,744,131,9,884,Friday
2021-11-05,China Ferry Terminal,0,0,0,0,0,0,0,0,Friday
2021-11-05,Harbour Control,0,0,0,0,0,0,0,0,Friday
2021-11-05,Kai Tak Cruise Terminal,1458,0,0,1458,1612,0,0,1612,Friday
2021-11-05,Macau Ferry Terminal,0,0,0,0,0,0,0,0,Friday
2021-11-05,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0,Friday
2021-11-05,Total,3395,261,79,3735,3590,178,68,3836,Friday
2021-11-06,Airport,566,174,34,774,955,33,59,1047,Saturday
2021-11-06,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0,Saturday
2021-11-06,Hung Hom,0,0,0,0,0,0,0,0,Saturday
2021-11-06,Lo Wu,0,0,0,0,0,0,0,0,Saturday
2021-11-06,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0,Saturday
2021-11-06,Heung Yuen Wai,0,0,0,0,0,0,0,0,Saturday
2021-11-06,Hong Kong-Zhuhai-Macao Bridge,99,13,18,130,158,25,4,187,Saturday
2021-11-06,Lok Ma Chau,0,0,0,0,0,0,0,0,Saturday
2021-11-06,Man Kam To,0,0,0,0,0,0,0,0,Saturday
2021-11-06,Sha Tau Kok,0,0,0,0,0,0,0,0,Saturday
2021-11-06,Shenzhen Bay,740,275,11,1026,620,130,4,754,Saturday
2021-11-06,China Ferry Terminal,0,0,0,0,0,0,0,0,Saturday
2021-11-06,Harbour Control,0,0,0,0,0,0,0,0,Saturday
2021-11-06,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0,Saturday
2021-11-06,Macau Ferry Terminal,0,0,0,0,0,0,0,0,Saturday
2021-11-06,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0,Saturday
2021-11-06,Total,1405,462,63,1930,1733,188,67,1988,Saturday
2021-11-07,Airport,1191,75,44,1310,1409,26,39,1474,Sunday
2021-11-07,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0,Sunday
2021-11-07,Hung Hom,0,0,0,0,0,0,0,0,Sunday
2021-11-07,Lo Wu,0,0,0,0,0,0,0,0,Sunday
2021-11-07,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0,Sunday
2021-11-07,Heung Yuen Wai,0,0,0,0,0,0,0,0,Sunday
2021-11-07,Hong Kong-Zhuhai-Macao Bridge,94,5,14,113,122,15,7,144,Sunday
2021-11-07,Lok Ma Chau,0,0,0,0,0,0,0,0,Sunday
2021-11-07,Man Kam To,0,0,0,0,0,0,0,0,Sunday
2021-11-07,Sha Tau Kok,0,0,0,0,0,0,0,0,Sunday
